OU,CN,GivenName,Initials,SN,DisplayName,SamAccountName,OfficeName,Description,eMail,StreetAddress,L,PostalCode,CO,UPN,Company,Department,ID,Title,Phone,Manager,Password
"OU=All Users,DC=Lab,DC=local",s.database.windows.001,s.database.windows.001,,,s.database.windows.001,s.database.win.001,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.001@lab.local,,,,,,,X8TmDRrr
"OU=All Users,DC=Lab,DC=local",s.database.windows.002,s.database.windows.002,,,s.database.windows.002,s.database.win.002,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.002@lab.local,,,,,,,X8TmDRrr
"OU=All Users,DC=Lab,DC=local",s.database.windows.003,s.database.windows.003,,,s.database.windows.003,s.database.win.003,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.003@lab.local,,,,,,,X8TmDRrr
"OU=All Users,DC=Lab,DC=local",s.database.windows.004,s.database.windows.004,,,s.database.windows.004,s.database.win.004,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.004@lab.local,,,,,,,X8TmDRrr
"OU=All Users,DC=Lab,DC=local",s.database.windows.005,s.database.windows.005,,,s.database.windows.005,s.database.win.005,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.005@lab.local,,,,,,,X8TmDRrr
"OU=All Users,DC=Lab,DC=local",s.database.windows.006,s.database.windows.006,,,s.database.windows.006,s.database.win.006,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.006@lab.local,,,,,,,X8TmDRrr
"OU=All Users,DC=Lab,DC=local",s.database.windows.007,s.database.windows.007,,,s.database.windows.007,s.database.win.007,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.007@lab.local,,,,,,,X8TmDRrr
"OU=All Users,DC=Lab,DC=local",s.database.windows.008,s.database.windows.008,,,s.database.windows.008,s.database.win.008,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.008@lab.local,,,,,,,X8TmDRrr
"OU=Service Accounts,DC=Lab,DC=local",s.database.windows.009,s.database.windows.009,,,s.database.windows.009,s.database.win.009,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.009@lab.local,,,,,,,X8TmDRrr
"OU=Service Accounts,DC=Lab,DC=local",s.database.windows.010,s.database.windows.010,,,s.database.windows.010,s.database.win.010,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.010@lab.local,,,,,,,X8TmDRrr
"OU=Service Accounts,DC=Lab,DC=local",s.database.windows.011,s.database.windows.011,,,s.database.windows.011,s.database.win.011,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.011@lab.local,,,,,,,X8TmDRrr
"OU=Service Accounts,DC=Lab,DC=local",s.database.windows.012,s.database.windows.012,,,s.database.windows.012,s.database.win.012,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.012@lab.local,,,,,,,X8TmDRrr
"OU=Service Accounts,DC=Lab,DC=local",s.database.windows.013,s.database.windows.013,,,s.database.windows.013,s.database.win.013,Database Team - New York office,Requested for Appteam by John Doe,USA.DBSupport@xyz.com,,,,,s.database.windows.013@lab.local,,,,,,,X8TmDRrr
